case_id,field,production_value,reference_value,same_or_different,classification,possible_reason,school_convention,resolved,gender_binding
C01-1940s-forward,major_stars.命宫,['七杀'],['七杀'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.兄弟,"['天梁', '太阳']","['天梁', '太阳']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.夫妻,"['天相', '武曲']","['天相', '武曲']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.子女,"['天同', '巨门']","['天同', '巨门']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.财帛,['贪狼'],['贪狼'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.疾厄,['太阴'],['太阴'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.迁移,"['天府', '廉贞']","['天府', '廉贞']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.仆役,[],[],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.官禄,['破军'],['破军'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.田宅,[],[],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.福德,['紫微'],['紫微'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,major_stars.父母,['天机'],['天机'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.命宫,[],[],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.兄弟,"['右弼', '擎羊', '文曲']","['右弼', '擎羊', '文曲']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.夫妻,['禄存'],['禄存'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.子女,"['天钺', '火星', '陀罗']","['天钺', '火星', '陀罗']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.财帛,['地空'],['地空'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.疾厄,"['左辅', '文昌']","['左辅', '文昌']",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.迁移,['地劫'],['地劫'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.仆役,['铃星'],['铃星'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.官禄,['天马'],['天马'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.田宅,['天魁'],['天魁'],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.福德,[],[],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,minor_stars.父母,[],[],same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,mutagen.禄,太阳,太阳,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,mutagen.权,武曲,武曲,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,mutagen.科,太阴,天府,different,DIFFERENT_SCHOOL_CONVENTION,十干四化表存在流派差异（同一干位的『科』星取法不同）。,戊干四化「右弼科 / 太阳科」两说；庚干四化「太阴科 / 天同科 / 天府科」多说；壬干四化「左辅科 / 天府科」两说,True,gender_independent
C01-1940s-forward,mutagen.忌,天同,天同,same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.命宫,"[0, 2, 4, 8]","[0, 2, 4, 8]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.兄弟,"[1, 3, 7, 11]","[1, 3, 7, 11]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.夫妻,"[0, 2, 6, 10]","[0, 2, 6, 10]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.子女,"[1, 5, 9, 11]","[1, 5, 9, 11]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.财帛,"[0, 4, 8, 10]","[0, 4, 8, 10]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.疾厄,"[3, 7, 9, 11]","[3, 7, 9, 11]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.迁移,"[2, 6, 8, 10]","[2, 6, 8, 10]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.仆役,"[1, 5, 7, 9]","[1, 5, 7, 9]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.官禄,"[0, 4, 6, 8]","[0, 4, 6, 8]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.田宅,"[3, 5, 7, 11]","[3, 5, 7, 11]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.福德,"[2, 4, 6, 10]","[2, 4, 6, 10]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,trine.父母,"[1, 3, 5, 9]","[1, 3, 5, 9]",same,IDENTICAL,,,True,gender_independent
C01-1940s-forward,decadal_range.命宫,"[5, 14]","[5, 14]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.兄弟,"[115, 124]","[115, 124]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.夫妻,"[105, 114]","[105, 114]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.子女,"[95, 104]","[95, 104]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.财帛,"[85, 94]","[85, 94]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.疾厄,"[75, 84]","[75, 84]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.迁移,"[65, 74]","[65, 74]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.仆役,"[55, 64]","[55, 64]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.官禄,"[45, 54]","[45, 54]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.田宅,"[35, 44]","[35, 44]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.福德,"[25, 34]","[25, 34]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,decadal_range.父母,"[15, 24]","[15, 24]",same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.命宫,冠带,冠带,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.兄弟,沐浴,沐浴,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.夫妻,长生,长生,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.子女,养,养,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.财帛,胎,胎,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.疾厄,绝,绝,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.迁移,墓,墓,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.仆役,死,死,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.官禄,病,病,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.田宅,衰,衰,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.福德,帝旺,帝旺,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,changsheng12.父母,临官,临官,same,IDENTICAL,,,True,gender_dependent
C01-1940s-forward,horoscope.yearly.palace_ground,,,different,FIELD_UNAVAILABLE,参考实现只暴露十年运（大限）导航接口，其运限盘与 iztro 的 horoscope 链式接口不是同一模型；强行对齐需要在本项目里重实现流年/流月，那会破坏『独立实现源』的前提。,,False,not_comparable
C01-1940s-forward,horoscope.monthly.palace_ground,,,different,FIELD_UNAVAILABLE,参考实现只暴露十年运（大限）导航接口，其运限盘与 iztro 的 horoscope 链式接口不是同一模型；强行对齐需要在本项目里重实现流年/流月，那会破坏『独立实现源』的前提。,,False,not_comparable
C02-1952-classic,five_elements_class,金四局,金四局,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,soul_palace,0,0,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,body_palace,4,4,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,destiny_master,禄存,廉贞,different,DIFFERENT_SUSPECTED_IMP_BUG,参考实现以**生年地支**索引命主表；命主的标准定义是以**命宫地支**查表（身主才是以生年支查表）。这是参考实现的疑似实现问题，不是流派差异；本条不影响生产引擎（iztro 按标准口径给出命主）。,,False,gender_independent
C02-1952-classic,body_master,文昌,文昌,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.命宫,0,0,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.兄弟,11,11,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.夫妻,10,10,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.子女,9,9,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.财帛,8,8,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.疾厄,7,7,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.迁移,6,6,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.仆役,5,5,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.官禄,4,4,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.田宅,3,3,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.福德,2,2,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_branch.父母,1,1,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.命宫,壬,壬,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.兄弟,癸,癸,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.夫妻,壬,壬,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.子女,辛,辛,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.财帛,庚,庚,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.疾厄,己,己,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.迁移,戊,戊,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.仆役,丁,丁,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.官禄,丙,丙,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.田宅,乙,乙,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.福德,甲,甲,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,palace_stem.父母,癸,癸,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.命宫,['贪狼'],['贪狼'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.兄弟,"['太阳', '太阴']","['太阳', '太阴']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.夫妻,"['天府', '武曲']","['天府', '武曲']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.子女,['天同'],['天同'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.财帛,['破军'],['破军'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.疾厄,[],[],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.迁移,['廉贞'],['廉贞'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.仆役,[],[],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.官禄,['七杀'],['七杀'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.田宅,['天梁'],['天梁'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.福德,"['天相', '紫微']","['天相', '紫微']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,major_stars.父母,"['天机', '巨门']","['天机', '巨门']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.命宫,['天马'],['天马'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.兄弟,['地劫'],['地劫'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.夫妻,"['擎羊', '铃星']","['擎羊', '铃星']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.子女,['禄存'],['禄存'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.财帛,['陀罗'],['陀罗'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.疾厄,['地空'],['地空'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.迁移,"['右弼', '文昌']","['右弼', '文昌']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.仆役,[],[],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.官禄,"['左辅', '文曲']","['左辅', '文曲']",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.田宅,['天钺'],['天钺'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.福德,['火星'],['火星'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,minor_stars.父母,['天魁'],['天魁'],same,IDENTICAL,,,True,gender_independent
C02-1952-classic,mutagen.禄,天梁,天梁,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,mutagen.权,紫微,紫微,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,mutagen.科,左辅,天府,different,DIFFERENT_SCHOOL_CONVENTION,十干四化表存在流派差异（同一干位的『科』星取法不同）。,戊干四化「右弼科 / 太阳科」两说；庚干四化「太阴科 / 天同科 / 天府科」多说；壬干四化「左辅科 / 天府科」两说,True,gender_independent
C02-1952-classic,mutagen.忌,武曲,武曲,same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.命宫,"[0, 4, 6, 8]","[0, 4, 6, 8]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.兄弟,"[3, 5, 7, 11]","[3, 5, 7, 11]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.夫妻,"[2, 4, 6, 10]","[2, 4, 6, 10]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.子女,"[1, 3, 5, 9]","[1, 3, 5, 9]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.财帛,"[0, 2, 4, 8]","[0, 2, 4, 8]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.疾厄,"[1, 3, 7, 11]","[1, 3, 7, 11]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.迁移,"[0, 2, 6, 10]","[0, 2, 6, 10]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.仆役,"[1, 5, 9, 11]","[1, 5, 9, 11]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.官禄,"[0, 4, 8, 10]","[0, 4, 8, 10]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.田宅,"[3, 7, 9, 11]","[3, 7, 9, 11]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.福德,"[2, 6, 8, 10]","[2, 6, 8, 10]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,trine.父母,"[1, 5, 7, 9]","[1, 5, 7, 9]",same,IDENTICAL,,,True,gender_independent
C02-1952-classic,decadal_range.命宫,"[4, 13]","[4, 13]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.兄弟,"[114, 123]","[114, 123]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.夫妻,"[104, 113]","[104, 113]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.子女,"[94, 103]","[94, 103]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.财帛,"[84, 93]","[84, 93]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.疾厄,"[74, 83]","[74, 83]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.迁移,"[64, 73]","[64, 73]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.仆役,"[54, 63]","[54, 63]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.官禄,"[44, 53]","[44, 53]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.田宅,"[34, 43]","[34, 43]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.福德,"[24, 33]","[24, 33]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,decadal_range.父母,"[14, 23]","[14, 23]",same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.命宫,绝,绝,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.兄弟,墓,墓,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.夫妻,死,死,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.子女,病,病,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.财帛,衰,衰,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.疾厄,帝旺,帝旺,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.迁移,临官,临官,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.仆役,冠带,冠带,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.官禄,沐浴,沐浴,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.田宅,长生,长生,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.福德,养,养,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,changsheng12.父母,胎,胎,same,IDENTICAL,,,True,gender_dependent
C02-1952-classic,horoscope.yearly.palace_ground,,,different,FIELD_UNAVAILABLE,参考实现只暴露十年运（大限）导航接口，其运限盘与 iztro 的 horoscope 链式接口不是同一模型；强行对齐需要在本项目里重实现流年/流月，那会破坏『独立实现源』的前提。,,False,not_comparable
C02-1952-classic,horoscope.monthly.palace_ground,,,different,FIELD_UNAVAILABLE,参考实现只暴露十年运（大限）导航接口，其运限盘与 iztro 的 horoscope 链式接口不是同一模型；强行对齐需要在本项目里重实现流年/流月，那会破坏『独立实现源』的前提。,,False,not_comparable
C03-1968-reverse,five_elements_class,金四局,金四局,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,soul_palace,10,10,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,body_palace,0,0,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,destiny_master,贪狼,廉贞,different,DIFFERENT_SUSPECTED_IMP_BUG,参考实现以**生年地支**索引命主表；命主的标准定义是以**命宫地支**查表（身主才是以生年支查表）。这是参考实现的疑似实现问题，不是流派差异；本条不影响生产引擎（iztro 按标准口径给出命主）。,,False,gender_independent
C03-1968-reverse,body_master,天梁,天梁,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.命宫,10,10,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.兄弟,9,9,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.夫妻,8,8,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.子女,7,7,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.财帛,6,6,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.疾厄,5,5,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.迁移,4,4,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.仆役,3,3,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.官禄,2,2,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.田宅,1,1,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.福德,0,0,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_branch.父母,11,11,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.命宫,甲,甲,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.兄弟,癸,癸,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.夫妻,壬,壬,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.子女,辛,辛,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.财帛,庚,庚,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.疾厄,己,己,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.迁移,戊,戊,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.仆役,丁,丁,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.官禄,丙,丙,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.田宅,乙,乙,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.福德,甲,甲,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,palace_stem.父母,乙,乙,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.命宫,['巨门'],['巨门'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.兄弟,"['廉贞', '贪狼']","['廉贞', '贪狼']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.夫妻,['太阴'],['太阴'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.子女,['天府'],['天府'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.财帛,[],[],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.疾厄,"['破军', '紫微']","['破军', '紫微']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.迁移,['天机'],['天机'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.仆役,[],[],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.官禄,['太阳'],['太阳'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.田宅,"['七杀', '武曲']","['七杀', '武曲']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.福德,"['天同', '天梁']","['天同', '天梁']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,major_stars.父母,['天相'],['天相'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.命宫,[],[],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.兄弟,['文曲'],['文曲'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.夫妻,[],[],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.子女,"['左辅', '火星']","['左辅', '火星']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.财帛,[],[],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.疾厄,['天钺'],['天钺'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.迁移,"['地劫', '擎羊']","['地劫', '擎羊']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.仆役,"['右弼', '禄存', '铃星']","['右弼', '禄存', '铃星']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.官禄,"['地空', '陀罗']","['地空', '陀罗']",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.田宅,['文昌'],['文昌'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.福德,['天马'],['天马'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,minor_stars.父母,['天魁'],['天魁'],same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,mutagen.禄,贪狼,贪狼,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,mutagen.权,太阴,太阴,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,mutagen.科,右弼,太阳,different,DIFFERENT_SCHOOL_CONVENTION,十干四化表存在流派差异（同一干位的『科』星取法不同）。,戊干四化「右弼科 / 太阳科」两说；庚干四化「太阴科 / 天同科 / 天府科」多说；壬干四化「左辅科 / 天府科」两说,True,gender_independent
C03-1968-reverse,mutagen.忌,天机,天机,same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.命宫,"[2, 4, 6, 10]","[2, 4, 6, 10]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.兄弟,"[1, 3, 5, 9]","[1, 3, 5, 9]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.夫妻,"[0, 2, 4, 8]","[0, 2, 4, 8]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.子女,"[1, 3, 7, 11]","[1, 3, 7, 11]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.财帛,"[0, 2, 6, 10]","[0, 2, 6, 10]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.疾厄,"[1, 5, 9, 11]","[1, 5, 9, 11]",same,IDENTICAL,,,True,gender_independent
C03-1968-reverse,trine.迁移,"[0, 4, 8, 10]","[0, 4, 8, 10]",same,IDENTICAL,,,True,gender_independent
